,product_url,overall_ratings,is_vegan,is_cruelty_free,award_wins,is_clean_product,has_clinical_results,has_alcohol,price,sizing_options_count,image_count,video_count,combination_skin_type,dry_skin_type,normal_skin_type,oily_skin_type,sensitive_skin_type,wrinkles_skincare_concerns,dryness_skincare_concerns,dark_circles_skincare_concerns,uneven_tone_skincare_concerns,loss_of_firmness_skincare_concerns,acne_skincare_concerns,dark_spots_skincare_concerns,targets_signs_of_aging_skincare_concerns,puffiness_skincare_concerns,lightweight_liquid_skincare_concerns,uneven_texture_skincare_concerns,redness_skincare_concerns,oiliness_skincare_concerns,makeup_removal_skincare_concerns,pores_skincare_concerns,from_famous_brand
81,https://www.sephora.com/product/hydra-essentiel-cooling-gel-normal-to-combination-skin-P415624?icid2=products grid:p415624,4.0,0,0,0,0,0,1,49.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,https://www.sephora.com/product/korres-greek-yoghurt-foaming-cream-cleanser-P456412?icid2=products grid:p456412,4.5,0,1,0,1,0,1,26.0,3,7,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,https://www.sephora.com/product/the-renewal-oil-P417241?icid2=products grid:p417241,4.0,0,0,0,0,0,1,250.0,2,6,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84,https://www.sephora.com/product/marc-jacobs-beauty-youthquake-hydra-full-retexturizing-gel-creme-moisturizer-jumbo-P456590?icid2=products grid:p456590,5.0,0,0,0,0,0,0,62.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,https://www.sephora.com/product/the-ordinary-deciem-100-organic-cold-pressed-rose-hip-seed-oil-P427415?icid2=products grid:p427415,4.5,0,0,0,0,0,0,9.8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,https://www.sephora.com/product/belif-aqua-bomb-cleansing-balm-P462336?icid2=products grid:p462336,4.5,0,0,0,1,0,1,34.0,1,6,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
87,https://www.sephora.com/product/triple-action-cleansing-water-cleanse-purify-P445724?icid2=products grid:p445724,4.0,1,0,0,1,1,0,12.0,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
88,https://www.sephora.com/product/smart-broad-spectrum-spf-15-custom-repair-moisturizer-for-very-dry-to-dry-skin-P405285?icid2=products grid:p405285,4.5,0,0,0,0,0,1,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,https://www.sephora.com/product/hydrating-oil-P449150?icid2=products grid:p449150,4.5,0,0,0,0,0,0,45.0,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,https://www.sephora.com/product/dior-capture-totale-rich-cream-P467945?icid2=products grid:p467945,4.5,0,0,0,0,1,1,110.0,1,6,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
